attribution_id,route_id,organization_name,is_producer,is_operator,is_authority,attribution_url,attribution_email,attribution_phone
2,B,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
3,F,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
4,FN,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
5,G1,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
6,G2,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
7,E1,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
8,G3,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
9,G4,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
30,9,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
20,N3,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
10,E3,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
21,N4,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
11,G6,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
22,ES,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
12,E4,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
23,1,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
13,E5,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
24,3,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
14,E6,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
25,4,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
15,E7,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
26,5,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
16,E8,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
27,6,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
17,10,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
28,7,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
18,N1,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
29,8,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
19,N2,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
1,A,Tuvisa,1,1,0,https://www.vitoria-gasteiz.org/tuvisa,tuvisa@vitoria-gasteiz.org,(+34) 945 16 10 54
