service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
AFA25GEN-1038-Sunday-00_C64,0,0,0,0,0,0,1,20251102,20260510
AFA25GEN-1039-Saturday-00_C51,0,0,0,0,0,1,0,20251108,20260516
AFA25GEN-1093-Weekday-00_C8,1,1,1,1,1,0,0,20251103,20260515
AFA25GEN-2042-Saturday-00_C53,0,0,0,0,0,1,0,20251108,20260516
AFA25GEN-2048-Sunday-00_C9,0,0,0,0,0,0,1,20251102,20260510
AFA25GEN-2100-Weekday-00_C39,1,1,1,1,1,0,0,20251103,20260515
AFA25GEN-3042-Saturday-00_C18,0,0,0,0,0,1,0,20251108,20260516
AFA25GEN-3044-Sunday-00_C17,0,0,0,0,0,0,1,20251102,20260510
AFA25GEN-3093-Weekday-00_C34,1,1,1,1,1,0,0,20251103,20260515
AFA25GEN-4043-Saturday-00_C10,0,0,0,0,0,1,0,20251108,20260516
AFA25GEN-4049-Sunday-00_C24,0,0,0,0,0,0,1,20251102,20260510
AFA25GEN-4104-Weekday-00_C40,1,1,1,1,1,0,0,20251103,20260515
AFA25GEN-4104-Weekday-00_C41,1,1,1,1,1,0,0,20251103,20260515
AFA25GEN-5044-Saturday-00_C6,0,0,0,0,0,1,0,20251108,20260516
AFA25GEN-5049-Sunday-00_C58,0,0,0,0,0,0,1,20251102,20260510
AFA25GEN-5113-Weekday-00_C23,1,1,1,1,1,0,0,20251103,20260515
AFA25GEN-6031-Sunday-00_C25,0,0,0,0,0,0,1,20251102,20260510
AFA25GEN-6034-Saturday-00_C63,0,0,0,0,0,1,0,20251108,20260516
AFA25GEN-6091-Weekday-00_C2,1,1,1,1,1,0,0,20251103,20260515
AFA25GEN-7024-Saturday-00_C59,0,0,0,0,0,1,0,20251108,20260516
AFA25GEN-7026-Sunday-00_C16,0,0,0,0,0,0,1,20251102,20260510
AFA25GEN-7064-Weekday-00_C33,1,1,1,1,1,0,0,20251103,20260515
AFA25GEN-GS013-Saturday-00,0,0,0,0,0,1,0,20251108,20260516
AFA25GEN-GS013-Sunday-00,0,0,0,0,0,0,1,20251102,20260510
AFA25GEN-GS022-Weekday-00,1,1,1,1,1,0,0,20251103,20260515
BFA25GEN-A047-Saturday-00_C12,0,0,0,0,0,1,0,20251108,20260516
BFA25GEN-A055-Sunday-00_C49,0,0,0,0,0,0,1,20251102,20260510
BFA25GEN-A087-Weekday-00_C7,1,1,1,1,1,0,0,20251103,20260515
BFA25GEN-B087-Weekday-00_C30,1,1,1,1,1,0,0,20251103,20260515
