stop_id,stop_name,stop_lat,stop_lon,stop_code,zone_id,stop_timezone,stop_url,level_id,parent_station
1248,Heraclio Fournier 2,42.838547,-2.665714,1248,1,Europe/Madrid,,,
1101,Judimendi / San José,42.850320,-2.661200,1101,1,Europe/Madrid,,,
1087,Portal Bergara 25,42.873560,-2.646540,1087,1,Europe/Madrid,,,
1105,Portal Betoño 4,42.857626,-2.662529,1105,1,Europe/Madrid,,,
1149,José María Cagigal 4,42.834354,-2.699258,1149,1,Europe/Madrid,,,
1336,Av. Los Huetos / Jerónimo Roure,42.852499,-2.694235,1336,1,Europe/Madrid,,,
1357,Txagorritxu,42.856217,-2.690957,1357,1,Europe/Madrid,,,
1011,Paz,42.844424,-2.668424,1011,1,Europe/Madrid,,,
1366,Mendigorritxu,42.840450,-2.746847,1366,1,Europe/Madrid,,,
1136,Francia / San Antón,42.850924,-2.669471,1136,1,Europe/Madrid,,,
1040,Portal Arriaga / Venezuela,42.859424,-2.674048,1040,1,Europe/Madrid,,,
1021,Honduras,42.857417,-2.680851,1021,1,Europe/Madrid,,,
1340,Iliada / Gabriel Martínez Aragón,42.846052,-2.639034,1340,1,Europe/Madrid,,,
1160,Intermodal,42.860200,-2.682010,1160,1,Europe/Madrid,,,
1249,Heraclio Fournier 24,42.837217,-2.663240,1249,1,Europe/Madrid,,,
1169,Bº Tomás Zumarraga / Argentina,42.850698,-2.684852,1169,1,Europe/Madrid,,,
1241,Derechos Humanos / Paseo Eskibel,42.841481,-2.698711,1241,1,Europe/Madrid,,,
1074,Mendizorrotza,42.838281,-2.686375,1074,1,Europe/Madrid,,,
1339,Iliada 10,42.844763,-2.644029,1339,1,Europe/Madrid,,,
1214,Lermandabidea / Lanzadera,42.850666,-2.723490,1214,1,Europe/Madrid,,,
1063,Euskal Herria,42.858213,-2.684685,1063,1,Europe/Madrid,,,
1128,Donostia 49,42.867810,-2.692894,1128,1,Europe/Madrid,,,
1232,Varsovia,42.847226,-2.650955,1232,1,Europe/Madrid,,,
1110,Buesa Arena,42.864548,-2.642978,1110,1,Europe/Madrid,,,
1066,Txagorritxu,42.856547,-2.690813,1066,1,Europe/Madrid,,,
1065,Euskal Herria,42.858725,-2.683940,1065,1,Europe/Madrid,,,
1312,Larragana / Portal Bergara,42.867160,-2.650870,1312,1,Europe/Madrid,,,
1137,Francia 23,42.848625,-2.668401,1137,1,Europe/Madrid,,,
1226,Naciones Unidas / Paseo Unicef,42.846205,-2.699992,1226,1,Europe/Madrid,,,
