route_id,trip_id,service_id,trip_short_name,trip_headsign,direction_id,shape_id
10,10_0_1_20260225T071608_0f3344d9,UNDEFINED,10_0_1_20260225T071608_0f3344d9,ALDAIA / PRADO,0,sha-1478c074
10,10_1_20260225T122713_58b81a94,UNDEFINED,10_1_20260225T122713_58b81a94,LARREIN / ALDAIA,1,sha-026e3270
1,1_0_20260225T071427_788ffc45,UNDEFINED,1_0_20260225T071427_788ffc45,CIRCULAR,0,sha-bc48672e
4,4_0_20260225T110224_d4fbc9d5,UNDEFINED,4_0_20260225T110224_d4fbc9d5,LAKUA / MARITURRI,0,sha-f4f057a0
4,4_1_20260225T130625_2f2d42ce,UNDEFINED,4_1_20260225T130625_2f2d42ce,MARITURRI / LAKUA,1,sha-b7033fa1
5,5_1_2_20260225T113717_48b4d361,UNDEFINED,5_1_2_20260225T113717_48b4d361,ELEJALDE / ARKAIATE,1,sha-3bf555e7
6,6_0_20260225T060443_c3cda462,UNDEFINED,6_0_20260225T060443_c3cda462,ARKAIATE / ZABALGANA,0,sha-a797580b
6,6_0_20260225T075941_e767eab4,UNDEFINED,6_0_20260225T075941_e767eab4,ARKAIATE / ZABALGANA,0,sha-a797580b
6,6_0_20260225T090056_b49c103e,UNDEFINED,6_0_20260225T090056_b49c103e,ARKAIATE / ZABALGANA,0,sha-a797580b
6,6_1_20260225T051937_8032cd28,UNDEFINED,6_1_20260225T051937_8032cd28,ZABALGANA / ARKAIATE,1,sha-5a2b0bbb
6,6_1_20260225T070948_b9f8bee6,UNDEFINED,6_1_20260225T070948_b9f8bee6,ZABALGANA / ARKAIATE,1,sha-5a2b0bbb
B,B_0_20260225T055158_884ca668,UNDEFINED,B_0_20260225T055158_884ca668,BEI B / MENDIZORROTZA,0,sha-a1de74cf
E1,E1CEM_001-CM,CementerioMiercoles,E1CEM_001-CM,CEMENTERIO / EL SALVADOR,0,sha-9c98b5d7
E1,E1CEM_002-CM,CementerioMiercoles,E1CEM_002-CM,EL SALVADOR / CEMENTERIO,1,sha-268760d7
E1,E1CEM_003-CS,CementerioSabado,E1CEM_003-CS,CEMENTERIO / EL SALVADOR,0,sha-9c98b5d7
E1,E1CEM_004-CS,CementerioSabado,E1CEM_004-CS,EL SALVADOR / CEMENTERIO,1,sha-268760d7
E1,E1CEM_005-CS,CementerioSabado,E1CEM_005-CS,CEMENTERIO / EL SALVADOR,0,sha-9c98b5d7
E1,E1CEM_006-CS,CementerioSabado,E1CEM_006-CS,EL SALVADOR / CEMENTERIO,1,sha-268760d7
E1,E1CEM_007-CS,CementerioSabado,E1CEM_007-CS,EL SALVADOR / CEMENTERIO,1,sha-268760d7
E1,E1CEM_010-CDI,CementerioDomingo - invierno,E1CEM_010-CDI,CEMENTERIO / EL SALVADOR,0,sha-9c98b5d7
E1,E1CEM_011-CDI,CementerioDomingo - invierno,E1CEM_011-CDI,EL SALVADOR / CEMENTERIO,1,sha-268760d7
E1,E1CEM_012-CDI,CementerioDomingo - invierno,E1CEM_012-CDI,CEMENTERIO / EL SALVADOR,0,sha-9c98b5d7
E1,E1CEM_013-CDI,CementerioDomingo - invierno,E1CEM_013-CDI,EL SALVADOR / CEMENTERIO,1,sha-268760d7
E1,E1CEM_014-CDI,CementerioDomingo - invierno,E1CEM_014-CDI,CEMENTERIO / EL SALVADOR,0,sha-9c98b5d7
E1,E1CEM_015-CDI,CementerioDomingo - invierno,E1CEM_015-CDI,EL SALVADOR / CEMENTERIO,1,sha-268760d7
E1,E1CEM_016-CDI,CementerioDomingo - invierno,E1CEM_016-CDI,EL SALVADOR / CEMENTERIO,1,sha-268760d7
E1,E1CEM_017-CDI,CementerioDomingo - invierno,E1CEM_017-CDI,CEMENTERIO / EL SALVADOR,0,sha-9c98b5d7
E1,E1CEM_018-CDI,CementerioDomingo - invierno,E1CEM_018-CDI,EL SALVADOR / CEMENTERIO,1,sha-268760d7
E1,E1CEM_019-CDI,CementerioDomingo - invierno,E1CEM_019-CDI,CEMENTERIO / EL SALVADOR,0,sha-9c98b5d7
E1,E1CEM_020-CDI,CementerioDomingo - invierno,E1CEM_020-CDI,EL SALVADOR / CEMENTERIO,1,sha-268760d7
E1,E1CEM_021-CDI,CementerioDomingo - invierno,E1CEM_021-CDI,EL SALVADOR / CEMENTERIO,1,sha-268760d7
E3,E3BASK,UNDEFINED,E3BASK,ESPECIAL / BUESA ARENA,0,sha-77488069
E3,E3BASK-1,UNDEFINED,E3BASK-1,ESPECIAL / BUESA ARENA,0,sha-77488069
E3,E3BASK-2,UNDEFINED,E3BASK-2,ESPECIAL / BUESA ARENA,1,sha-954dba93
E3,E3BASK-3,UNDEFINED,E3BASK-3,ESPECIAL / BUESA ARENA,0,sha-77488069
E3,E3BASK-4,UNDEFINED,E3BASK-4,ESPECIAL / BUESA ARENA,0,sha-77488069
E3,E3BASK-5,UNDEFINED,E3BASK-5,ESPECIAL / BUESA ARENA,1,sha-954dba93
E4,E4BASK,UNDEFINED,E4BASK,ESPECIAL / BUESA ARENA,0,sha-fd960860
E4,E4BASK-1,UNDEFINED,E4BASK-1,ESPECIAL / BUESA ARENA,0,sha-fd960860
E4,E4BASK-2,UNDEFINED,E4BASK-2,ESPECIAL / BUESA ARENA,1,sha-66d74646
E4,E4BASK-3,UNDEFINED,E4BASK-3,ESPECIAL / BUESA ARENA,0,sha-fd960860
E4,E4BASK-4,UNDEFINED,E4BASK-4,ESPECIAL / BUESA ARENA,0,sha-fd960860
E4,E4BASK-5,UNDEFINED,E4BASK-5,ESPECIAL / BUESA ARENA,1,sha-66d74646
E8,E8CONCIERTO,UNDEFINED,E8CONCIERTO,ESPECIAL / BUESA ARENA,0,sha-146de291
E8,E8CONCIERTO-1,UNDEFINED,E8CONCIERTO-1,ESPECIAL / BUESA ARENA,0,sha-146de291
G1,G1S100_001-GAU,Gautxori,G1S100_001-GAU,LAKUA / ABETXUKO,0,sha-dcabd232
G1,G1S100_002-GAU,Gautxori,G1S100_002-GAU,LAKUA / ABETXUKO,0,sha-dcabd232
G1,G1S100_003-GAU,Gautxori,G1S100_003-GAU,LAKUA / ABETXUKO,0,sha-dcabd232
G1,G1S100_004-GAU,Gautxori,G1S100_004-GAU,LAKUA / ABETXUKO,0,sha-dcabd232
G1,G1S100_005-GAU,Gautxori,G1S100_005-GAU,LAKUA / ABETXUKO,0,sha-dcabd232
G1,G1S100_006-GAU,Gautxori,G1S100_006-GAU,LAKUA / ABETXUKO,0,sha-dcabd232
